metric,value,numerator,denominator,percentage,measurable,notes,scope
latency_retrieval_ms_minimum,12.0,,50,,True,,final
latency_retrieval_ms_maximum,14.0,,50,,True,,final
latency_retrieval_ms_standard_deviation,0.36055512754639896,,50,,True,,final
latency_retrieval_ms_p95,13.0,,50,,True,,final
latency_retrieval_ms_p99,14.0,,50,,True,,final
latency_generation_ms_mean,2561.58,,50,,True,,final
latency_generation_ms_median,2617.0,,50,,True,,final
latency_generation_ms_minimum,672.0,,50,,True,,final
latency_generation_ms_maximum,11584.0,,50,,True,,final
latency_generation_ms_standard_deviation,1824.1236371474386,,50,,True,,final
latency_generation_ms_p95,4646.0,,50,,True,,final
latency_generation_ms_p99,11584.0,,50,,True,,final
